
States V || Symbols->         a|              b|              c|              d|              e|              f|              g|              h|              i|              j|              z|              x|              k|              =|              (|              )|              {|              }|              ~|              ?|              $|              :|              ;|              >|              <|              +|              -|              *|              ~|              ,|              [|              ]|              
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------              
              0|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|            s 6|            s 7|            s 8|               |           s 19|            s 9|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
             34|           s 55|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             35|           s 56|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             36|           s 57|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             37|           s 58|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             38|           s 59|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             39|           s 60|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             40|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 61|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             41|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 62|               |               |           s 39|               |               |               |               |           s 34|           s 35|           s 36|           s 37|           s 38|               |               |               |               |
             42|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 63|               |               |               |               |               |               |               |               |               |
             43|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|               |               |            s 8|               |           s 65|           s 29|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
             44|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|               |               |            s 8|               |           s 65|           s 29|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
             45|           s 68|               |               |               |               |               |               |           s 67|               |               |               |           s 69|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             46|               |           s 70|               |               |               |               |               |               |               |               |               |               |           s 71|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             47|           s 74|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             48|               |           s 76|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             49|           s 77|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             50|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r O->jR;|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             51|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 62|               |               |               |               |               |               |               |               |               |           s 36|           s 37|           s 38|               |               |               |               |
             52|               |           s 78|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             53|           s 79|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             54|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 80|               |               |               |               |               |               |               |               |               |               |
             55|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r P->R>R|               |       r P->R>R|               |       r P->R>R|               |       r P->R>R|       r P->R>R|               |               |           s 36|           s 37|           s 38|               |               |               |               |
             56|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r P->R<R|               |       r P->R<R|               |       r P->R<R|               |       r P->R<R|       r P->R<R|               |               |           s 36|           s 37|           s 38|               |               |               |               |
             57|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r Q->R+R|               |       r Q->R+R|       r Q->R+R|       r Q->R+R|               |       r Q->R+R|       r Q->R+R|       r Q->R+R|       r Q->R+R|           s 36|           s 37|           s 38|               |               |               |               |
             58|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r Q->R-R|               |       r Q->R-R|       r Q->R-R|       r Q->R-R|               |       r Q->R-R|       r Q->R-R|       r Q->R-R|       r Q->R-R|           s 36|           s 37|           s 38|               |               |               |               |
